Corpus Chunk,Stopwords,Sampled Sentences,Ko Word Count,Translated Sentences,En Word Count,Word Count Difference
korean_hate_speech_chunk_7,WITH,진짜 대한민국 원탑~~~!!!!!♡♡♡♡♡♡♡,3,The real top of Korea~~~!!!!!♡♡♡♡♡♡♡,5,2
korean_hate_speech_chunk_7,WITH,ㅅㅂ 모르고저런거지 알고 저랬겠냐 꼰대 새키들 드럽게 말많네 ㅋㅋㅋ,9,ㅅㅂ You're like that without knowing. Do you think you did that with knowledge? Old guys and newbies talk so much haha.,22,13
korean_hate_speech_chunk_7,WITH,여자가 아깝다...그냥일반인과 결혼하지...,3,It's a waste of a woman...just marry an ordinary person...,10,7
korean_hate_speech_chunk_0,WITHOUT,좋은 댓글은  지워지는보니 누군가 장난  댓글알바 심되니 혜선씨 댓글 신경쓰지마세요~^^,10,"Good comments are deleted, so don't pay attention to Hye-sun's comments as someone is trying to make joke comments~^^",19,9
korean_hate_speech_chunk_0,WITHOUT,진 형님은  곡 술사 lYG행닝 기고 셨으면 좋겠다는 마음입니다 행님~,10,"Brother Jin, I hope that you will contribute to the music magician lYG Haengning~ Haengnim~",15,5
korean_hate_speech_chunk_0,WITHOUT,방탄 7명 강다니엘게 압살당함,4,7 BTS members were crushed by Kang Daniel,8,4
korean_hate_speech_chunk_0,WITHOUT,글만읽도 진부다..70년대 본소설 느낌 벗날수 없다..싱같은..,6,"Even just reading the text, it's so cliché.. I can't escape the feeling of this novel from the 70's.. It's like...",21,15
korean_hate_speech_chunk_0,WITHOUT,정신빠진놈구만 본놈 위로냐,3,Are you comforting someone who just saw him out of his mind?,12,9
korean_hate_speech_chunk_1,WITHOUT,주 기주의 쩔은 인간 천지 뇌 파먹는 바러스 한국 돌다니는 듯,11,Joo Gi-ju's crazy human brain-eating varus seems to be wandering around Korea.,12,1
korean_hate_speech_chunk_1,WITHOUT,? 여태껏 동거한거요?,3,? Have you ever lived together?,6,3
korean_hate_speech_chunk_1,WITHOUT,남측 욕지마세요,2,Don't criticize the South,4,2
korean_hate_speech_chunk_1,WITHOUT,여보세요~~~ 냥 남 권태기 서 여 버리고 싶진겁니다~~ 결혼 한번 안해본 사람처럼 러세요~~,13,Hello~~~ The man is bored and wants to abandon the woman~~ Act like someone who has never been married before~~,20,7
korean_hate_speech_chunk_1,WITHOUT,방송출연해서 런말 막해도 되? 김학래는 정 없 혼사는분인? 글고 무도 르는 도 남을 쓰레기라 말할 격있? 김학래씨도 잘못했다고 인정는게 좋을듯 떤 사정 있었는지는 르 잘못한부분은 분명히 있으니,27,"Is it okay for me to appear on a TV show and say something like that? Is Kim Hak-rae a married person without affection? Do you even have the right to call others trash? I think it would be better for Mr. Hak-rae Kim to admit that he was also at fault, because it is clear that he made a mistake under certain circumstances.",64,37
korean_hate_speech_chunk_2,WITHOUT,정준 별로...사상의심,2,Jeongjun not so much...I doubt the idea,7,5
korean_hate_speech_chunk_2,WITHOUT,어 더 어린분 만서 결혼시지 ㅋㅋㅋㅋㅋㅋㅋㅋ어 2세 안볼거요 건형 여자 40면 끝난거요 병원가서 검사 받보세요 임신가능한가,16,"Uh, you're getting married to someone younger hahahahaha. Uh, I won't see you for 2 years. If you're a healthy girl in your 40s, you're done. Go to the hospital and get tested. Is it possible for you to get pregnant?",41,25
korean_hate_speech_chunk_2,WITHOUT,세 가족 다 예쁘,4,All three family members are pretty,6,2
korean_hate_speech_chunk_2,WITHOUT,돈많으면 쓰던거 버리고 새 사야지.. 잘했어 용대야..,7,"If you have a lot of money, you should throw away the old one and buy a new one.. Good job Yongdae..",22,15
korean_hate_speech_chunk_2,WITHOUT,얘도 물었.....래서 연예계로 발 면 마약처럼 중독되지...니은 안러길 바랬는데...,9,"He also asked... So, if you enter the entertainment industry, you become addicted to it like a drug... I was hoping you wouldn't do that...",25,16
korean_hate_speech_chunk_3,WITHOUT,우 림님 정말 축드려요!!,4,"Woo Lim, I really congratulate you!!",6,2
korean_hate_speech_chunk_3,WITHOUT,"강타 실로 보면 잘생겼는가보넹,,, 개취지 뭐",6,"Kangta actually looks handsome,,, whatever.",5,1
korean_hate_speech_chunk_3,WITHOUT,"장례식장 페미 몰려서 여성평등 외치고 난동 부릴거 같더니,,, 페미 조용네,,, ㅋㅋㅋ",11,"It looked like feminists would gather at the funeral and shout for women's equality and cause trouble,,, but the feminists are quiet,,, lol.",23,12
korean_hate_speech_chunk_3,WITHOUT,국내 관종 환자 볼 수 있는 프로!!,7,A professional who can see domestic patients with vascular disease!!,10,3
korean_hate_speech_chunk_3,WITHOUT, 러 정말 건 불륜인데 중 늘겅서 어쪄려고,7,"It's really an affair, but what are you going to do with it?",13,6
korean_hate_speech_chunk_4,WITHOUT,장애인 스티븐 호킹박보다 베충들 행복지수 더 높다.,7,The happiness index of insects is higher than that of disabled person Stephen Hawking Park.,15,8
korean_hate_speech_chunk_4,WITHOUT,힘들면 관뒀지 게 현명한거다,4,"If it was hard, it was wise to quit.",9,5
korean_hate_speech_chunk_4,WITHOUT,화끈게 뿌리시길~~ 중 잘생김 뚝뚝..,5,Spray it hot~~ You look so handsome..,7,2
korean_hate_speech_chunk_4,WITHOUT,"최는 연인들 서서 오냐오냐 해주고 주변 지인였던 연인들은 안해도 욕먹고, 추모한 연인도 만있라고 욕먹고..잘는 짓다. 남패라. 패지말고.",17,"Choi asked lovers to come or not, and those who were acquaintances around him were scolded for not doing so, and those who mourned him were scolded for telling him to just stay. Be a loser. Don't lose.",38,21
korean_hate_speech_chunk_4,WITHOUT,불청 서 즐기다 들던만..뭔 2년..,5,I was enjoying it uninvited...what 2 years...,7,2
korean_hate_speech_chunk_5,WITHOUT,서 도구 용는 방송~~순진한 인간 많,6,Standing Tool Yong is broadcasting ~~ There are many naive people,11,5
korean_hate_speech_chunk_5,WITHOUT, 라...잘난척 겉멋은...굴 불쌍타.구속해서 사형판결내려라,4,La... you're so arrogant... you're pitiful. Arrest him and sentence him to death.,13,9
korean_hate_speech_chunk_5,WITHOUT,원가 불쌍한거였,2,The cost was pitiful.,4,2
korean_hate_speech_chunk_5,WITHOUT,태지빠  편히 살게 해줬으면ㅜㅜ녀도  취학연령 될텐데불편해서  해외 떠실까봐 걱정돼요,9,"I wish Taejipa could live comfortably. She would be of school age, but I am worried that she will go abroad because of the inconvenience.",25,16
korean_hate_speech_chunk_5,WITHOUT,윤진가 연기 잘는임,3,Yoon Jin-ga is good at acting.,6,3
korean_hate_speech_chunk_6,WITHOUT,십 흐른 지금도 남잔 의리!!,5,"Even after ten years, I am still loyal to men!!",10,5
korean_hate_speech_chunk_6,WITHOUT,심장소리가 리마 장난치더니 진짜 유산되버려라.,5,The sound of my heart was playing tricks on me and I ended up having a miscarriage.,17,12
korean_hate_speech_chunk_6,WITHOUT,"전현무는 인생선택 한 임. 신동엽과 헤진 소라 처럼, 전현무는 앞으 전문직 여성 만 잘 살거고, 한혜진은 소라 꼴 낫거임. 든 상폐녀가 연남 만난다는 랑 며, 추게 늙갈 운명.",28,"Jeon Hyun-moo made a life choice. Like Shin Dong-yeop and Sora, Jeon Hyun-moo will only live well as a professional woman in the future, and Han Hye-jin will be like Sora. She said that a woman with a broken heart meets a young man, and that she is destined to grow old coldly.",53,25
korean_hate_speech_chunk_6,WITHOUT,뻔뻔함 개국랑 동급인듯,3,"Shameless, it seems to be on the same level as Gaekak.",11,8
korean_hate_speech_chunk_6,WITHOUT,라도줌마는 노빠문레기 세상 천국랑께,4,"Radojumma is the world of Noppamunregi, heaven and earth",9,5
korean_hate_speech_chunk_7,WITHOUT,노화로 인한 못생김 슬슬더 중되는 시기~~^^,6,It is a time when ugliness due to aging becomes more and more serious~~^^,14,8
korean_hate_speech_chunk_7,WITHOUT,명예훼손으로 고소면 답온다,3,"If you sue for defamation, you will receive an answer.",10,7
korean_hate_speech_chunk_7,WITHOUT,진짜 대한민국 원탑~~~!!!!!♡♡♡♡♡♡♡,3,The real top of Korea~~~!!!!!♡♡♡♡♡♡♡,5,2
korean_hate_speech_chunk_7,WITHOUT,ㅅㅂ 모르고런거지 알고 랬겠냐 꼰대 새키들 드럽게 말많 ㅋㅋㅋ,9,"ㅅㅂ You didn't know, but you knew what you were doing. Old and new kids talk so much haha.",19,10
korean_hate_speech_chunk_7,WITHOUT,여 깝다...냥반인과 결혼지...,3,Well... I'm getting married to a nyangbanin...,7,4
